specimen_ID,date_collected,year,site,sp_code,lifestage
20230711-NAPL-005,2023-07-11,2023,Naples,GR,NA
20230711-NAPL-006,2023-07-11,2023,Naples,DP,NA
20230711-NAPL-007,2023-07-11,2023,Naples,GR,NA
20230711-NAPL-008,2023-07-11,2023,Naples,BR,NA
20230711-NAPL-009,2023-07-11,2023,Naples,BR,NA
20230711-NAPL-010,2023-07-11,2023,Naples,PTCA,adult
20230711-NAPL-011,2023-07-11,2023,Naples,DP,NA
20230711-NAPL-012,2023-07-11,2023,Naples,GR,NA
20230711-NAPL-013,2023-07-11,2023,Naples,BO,NA
20230711-NAPL-014,2023-07-11,2023,Naples,R,NA
20230711-NAPL-015,2023-07-11,2023,Naples,PTCA,adult
20230711-NAPL-016,2023-07-11,2023,Naples,BR,NA
20230711-NAPL-017,2023-07-11,2023,Naples,R,NA
20230711-NAPL-018,2023-07-11,2023,Naples,R,NA
20230711-NAPL-019,2023-07-11,2023,Naples,DP,NA
20230711-NAPL-020,2023-07-11,2023,Naples,DP,NA
20230711-NAPL-021,2023-07-11,2023,Naples,PTCA,adult
